gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,"['*NORTHWESTERN', '*CORNELL', '*VANDERBILT', '*EMORY', '*CASE WESTERN', '*USC']","['*DUKE', '*JOHNS HOPKINS', '*UPENN']","['*YALE', '*UPENN']",NA,"NORTHWESTERN, CORNELL, VANDERBILT, EMORY, CASE WESTERN, USC","DUKE, JOHNS HOPKINS, UPENN","YALE, UPENN",6,3,2
M,ASIAN,NA,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6,7.5,"['*UMICH', '*UCD', '*FORDHAM', '*UCI']","['*UCLA', '*UCSD']","['*BROWN', '*WILLIAMS', '*USC', '*BOSTON UNIVERSITY']",NA,"UMICH, UCD, FORDHAM, UCI","UCLA, UCSD","BROWN, WILLIAMS, USC, BOSTON UNIVERSITY",4,2,4
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5,7,"['*PURDUE', '*UMICH', '*UW MADISON', '*ARIZONA STATE']",[],['*UIUC'],NA,"PURDUE, UMICH, UW MADISON, ARIZONA STATE",,UIUC,4,0,1
M,BLACK,OR,Low,PUBLIC,URM,NA,1450,6.5,4.2,"['*HARVARD', '*COLUMBIA', '*CORNELL', '*MIT', '*CALTECH', '*UCHICAGO']",[],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*UPENN']",NA,"HARVARD, COLUMBIA, CORNELL, MIT, CALTECH, UCHICAGO",,"UCLA, HARVARD, YALE, BROWN, COLUMBIA, UPENN",6,0,6
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,"['*CORNELL', '*CMU', '*UT-AUSTIN', '*NORTHEASTERN']",[],"['*HARVARD', '*CALTECH', '*SWARTHMORE']",NA,"CORNELL, CMU, UT-AUSTIN, NORTHEASTERN",,"HARVARD, CALTECH, SWARTHMORE",4,0,3
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,"['*UCLA', '*BERKELEY', '*DUKE', '*UPENN', '*UIUC', '*NORTHEASTERN', '*UNC CHAPEL HILL']",[],"['*BROWN', '*STANFORD', '*COLUMBIA', '*VANDERBILT']",NA,"UCLA, BERKELEY, DUKE, UPENN, UIUC, NORTHEASTERN, UNC CHAPEL HILL",,"BROWN, STANFORD, COLUMBIA, VANDERBILT",7,0,4
M,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,4.2,['*CALTECH'],[],[],NA,CALTECH,,,1,0,0
M,ASIAN,CA,Low,PUBLIC,FIRST-GEN,ENG,1460,6.5,4.2,"['*UCSD', '*JOHNS HOPKINS', '*POMONA', '*UCSB', '*UCI']",['*UCLA'],"['*CORNELL', '*BERKELEY', '*DUKE', '*CMU', '*USC']",NA,"UCSD, JOHNS HOPKINS, POMONA, UCSB, UCI",UCLA,"CORNELL, BERKELEY, DUKE, CMU, USC",5,1,5
M,HISPANIC,IL,NA,PUBLIC,FIRST-GEN,ENG,1390,8.5,2.5,['*CORNELL'],[],"['*COLUMBIA', '*MIT']",NA,CORNELL,,"COLUMBIA, MIT",1,0,2
M,WHITE,CA,High,PUBLIC,LEGACY,CS,1480,5,4.7,"['*USC', '*UIUC', '*UW MADISON']","['*UMICH', '*TULANE']","['*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DARTMOUTH', '*NYU']",NA,"USC, UIUC, UW MADISON","UMICH, TULANE","NORTHWESTERN, COLUMBIA, CORNELL, DARTMOUTH, NYU",3,2,5
