gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
F,ASIAN,MI,High,PUBLIC,NONE,ENG,1500,8.5,7.5,['*NORTHWESTERN'],[],[],NA,NORTHWESTERN,,,1,0,0
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,2.5,[],[],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*JOHNS HOPKINS', '*DARTMOUTH', '*VANDERBILT', '*UPENN', '*UCR']",NA,,,"HARVARD, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, DUKE, PRINCETON, JOHNS HOPKINS, DARTMOUTH, VANDERBILT, UPENN, UCR",0,0,14
F,ASIAN,PA,High,PRIVATE,NONE,PSYCH,1550,6.5,4.7,['*YALE'],[],[],NA,YALE,,,1,0,0
M,WHITE,NY,High,PUBLIC,NONE,PREMED,1560,6.5,6.5,"['*CORNELL', '*DUKE', '*JOHNS HOPKINS', '*NYU', '*UMICH']","['*YALE', '*BROWN', '*NORTHWESTERN', '*UPENN', '*UNC CHAPEL HILL']","['*HARVARD', '*COLUMBIA', '*PRINCETON', '*MIT', '*DARTMOUTH']",NA,"CORNELL, DUKE, JOHNS HOPKINS, NYU, UMICH","YALE, BROWN, NORTHWESTERN, UPENN, UNC CHAPEL HILL","HARVARD, COLUMBIA, PRINCETON, MIT, DARTMOUTH",5,5,5
F,NA,WA,Low,PUBLIC,LEGACY,ENG,1250,6.5,4.5,['*DUKE'],[],"['*CMU', '*EMORY']",NA,DUKE,,"CMU, EMORY",1,0,2
M,ASIAN,TX,Low,PUBLIC,NONE,BIO,1570,6.5,7.5,['*BROWN'],[],['*BROWN'],NA,BROWN,,BROWN,1,0,1
M,ASIAN,FL,High,PUBLIC,FIRST-GEN,CS,1450,7.5,4.7,[],"['*COLUMBIA', '*PRINCETON']","['*HARVARD', '*YALE', '*STANFORD']",NA,,"COLUMBIA, PRINCETON","HARVARD, YALE, STANFORD",0,2,3
NB,BLACK,IN,Low,PUBLIC,NONE,ENG,1120,5.5,6.5,"['*MIT', '*EMORY', '*UVA']",[],[],NA,"MIT, EMORY, UVA",,,3,0,0
F,ASIAN,CA,NA,PUBLIC,NONE,BIO,1520,7.5,7.5,['*ARIZONA STATE'],[],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*JOHNS HOPKINS', '*SWARTHMORE', '*VANDERBILT', '*UPENN', '*EMORY', '*USC', '*UCI']",NA,ARIZONA STATE,,"UCLA, HARVARD, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, BERKELEY, DUKE, JOHNS HOPKINS, SWARTHMORE, VANDERBILT, UPENN, EMORY, USC, UCI",1,0,17
M,ASIAN,CA,Low,NA,NONE,NA,1550,6.5,2.5,['*CORNELL'],[],[],NA,CORNELL,,,1,0,0
F,ASIAN,NA,High,NA,NONE,BUSINESS,1300,5,3.5,['*RUTGERS'],[],['*NYU'],NA,RUTGERS,,NYU,1,0,1
M,ASIAN,MI,High,NA,NONE,BIO,1570,6.5,1,['*CORNELL'],[],[],NA,CORNELL,,,1,0,0
M,ASIAN,TX,Middle,NA,NONE,NA,1560,7.5,8.2,"['*CORNELL', '*USC', '*UT-AUSTIN', '*UT-DALLAS', '*UCHICAGO', '*TAMU']",[],"['*CORNELL', '*UMICH']",NA,"CORNELL, USC, UT-AUSTIN, UT-DALLAS, UCHICAGO, TAMU",,"CORNELL, UMICH",6,0,2
M,ASIAN,MI,Low,PUBLIC,NONE,HEALTH SCIENCES,1550,7.5,8.5,['*CORNELL'],[],['*EMORY'],NA,CORNELL,,EMORY,1,0,1
M,WHITE,NA,High,PUBLIC,NONE,CS,1540,7.5,8.2,['*RUTGERS'],[],[],NA,RUTGERS,,,1,0,0
F,ASIAN,MD,Low,NA,NONE,BUSINESS,1390,6.5,0,[],[],"['*CMU', '*USC', '*WASHU', '*UT-AUSTIN', '*NORTHEASTERN']",NA,,,"CMU, USC, WASHU, UT-AUSTIN, NORTHEASTERN",0,0,5
M,ASIAN,MI,Low,NA,NONE,CS,1470,7.5,3,"['*UPENN', '*RUTGERS']",[],"['*UCLA', '*GEORGIA TECH', '*PURDUE', '*NYU', '*UIUC']",NA,"UPENN, RUTGERS",,"UCLA, GEORGIA TECH, PURDUE, NYU, UIUC",2,0,5
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1500,2.5,4.5,"['*NORTHEASTERN', '*ARIZONA STATE']",[],['*CASE WESTERN'],NA,"NORTHEASTERN, ARIZONA STATE",,CASE WESTERN,2,0,1
M,ASIAN,IA,High,PRIVATE,NONE,ENG,1550,6.5,4.5,['*GEORGIA TECH'],['*CORNELL'],[],NA,GEORGIA TECH,CORNELL,,1,1,0
F,ASIAN,NA,High,NA,NONE,CS,1580,6.5,6.5,[],[],"['*CORNELL', '*UMICH', '*USC', '*UIUC', '*NORTHEASTERN', '*ARIZONA STATE']",NA,,,"CORNELL, UMICH, USC, UIUC, NORTHEASTERN, ARIZONA STATE",0,0,6
M,ASIAN,IN,NA,PRIVATE,NONE,CS,1540,5.5,3.5,"['*UPENN', '*UMICH', '*UIUC']",[],"['*UCLA', '*HARVARD', '*STANFORD', '*BERKELEY', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*CMU', '*PURDUE', '*UIUC']",NA,"UPENN, UMICH, UIUC",,"UCLA, HARVARD, STANFORD, BERKELEY, DUKE, PRINCETON, GEORGIA TECH, CMU, PURDUE, UIUC",3,0,10
M,WHITE,AL,Low,PUBLIC,NONE,CS,1550,6.5,6.5,"['*UPENN', '*NORTHEASTERN', '*ARIZONA STATE']",[],"['*VIRGINIA TECH', '*TUFTS', '*UVA']",NA,"UPENN, NORTHEASTERN, ARIZONA STATE",,"VIRGINIA TECH, TUFTS, UVA",3,0,3
M,ASIAN,TX,Low,PUBLIC,NONE,CS,1570,6,2.5,"['*UMICH', '*TAMU']","['*USC', '*UIUC']","['*CORNELL', '*GEORGIA TECH', '*UT-AUSTIN']",NA,"UMICH, TAMU","USC, UIUC","CORNELL, GEORGIA TECH, UT-AUSTIN",2,2,3
M,HISPANIC,CO,High,PUBLIC,NONE,ENG,1530,6.5,2.5,"['*GEORGIA TECH', '*PURDUE', '*UPENN']",[],[],NA,"GEORGIA TECH, PURDUE, UPENN",,,3,0,0
F,ASIAN,CO,High,PUBLIC,NONE,CS,1390,7.5,7.5,"['*CORNELL', '*GEORGIA TECH', '*UMICH', '*USC', '*UIUC', '*NORTHEASTERN', '*UVA']",[],"['*BROWN', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*CMU', '*PURDUE', '*RICE', '*NYU', '*UPENN']",NA,"CORNELL, GEORGIA TECH, UMICH, USC, UIUC, NORTHEASTERN, UVA",,"BROWN, NORTHWESTERN, COLUMBIA, DUKE, CMU, PURDUE, RICE, NYU, UPENN",7,0,9
M,ASIAN,TX,Low,NA,NONE,CS,1540,5.5,4.2,[],"['*PURDUE', '*UMICH', '*UIUC']","['*UCLA', '*STANFORD', '*CORNELL', '*BERKELEY', '*GEORGIA TECH', '*CMU']",NA,,"PURDUE, UMICH, UIUC","UCLA, STANFORD, CORNELL, BERKELEY, GEORGIA TECH, CMU",0,3,6
F,WHITE,NY,High,PUBLIC,NONE,CS,1540,6.5,4.5,['*PRINCETON'],[],[],NA,PRINCETON,,,1,0,0
F,ASIAN,OR,Low,PUBLIC,NONE,NA,1510,6.5,7.3,"['*NORTHWESTERN', '*UCHICAGO']",[],['*NORTHEASTERN'],NA,"NORTHWESTERN, UCHICAGO",,NORTHEASTERN,2,0,1
F,ASIAN,NA,Low,PUBLIC,LEGACY,CS,1570,6.5,2.5,"['*PURDUE', '*UMICH', '*UIUC', '*FORDHAM']",[],"['*YALE', '*CORNELL', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*CMU', '*RICE', '*VANDERBILT', '*UPENN', '*VIRGINIA TECH', '*UVA']",NA,"PURDUE, UMICH, UIUC, FORDHAM",,"YALE, CORNELL, DUKE, PRINCETON, GEORGIA TECH, CMU, RICE, VANDERBILT, UPENN, VIRGINIA TECH, UVA",4,0,11
F,WHITE,NY,Low,PUBLIC,NONE,CS,1590,7.5,7.5,"['*MIT', '*NORTHEASTERN']",['*UCHICAGO'],"['*MIT', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*UCHICAGO']",NA,"MIT, NORTHEASTERN",UCHICAGO,"MIT, BOSTON UNIVERSITY, NORTHEASTERN, UCHICAGO",2,1,4
M,ASIAN,GA,Low,PUBLIC,NONE,CS,1570,6.5,8.5,"['*GEORGIA TECH', '*PURDUE', '*UIUC']",[],['*STANFORD'],NA,"GEORGIA TECH, PURDUE, UIUC",,STANFORD,3,0,1
M,ASIAN,CA,High,PUBLIC,NONE,CS,1550,6,6.5,"['*PURDUE', '*UMICH', '*USC', '*UIUC', '*NORTHEASTERN', '*UW MADISON']",[],"['*CORNELL', '*GEORGIA TECH']",NA,"PURDUE, UMICH, USC, UIUC, NORTHEASTERN, UW MADISON",,"CORNELL, GEORGIA TECH",6,0,2
M,HISPANIC,LA,Low,PRIVATE,NONE,ENG,1540,6.5,6.5,[],[],"['*BROWN', '*COLUMBIA', '*CORNELL', '*DUKE', '*MIT', '*JOHNS HOPKINS', '*DARTMOUTH', '*RICE', '*VANDERBILT', '*UPENN', '*CASE WESTERN', '*TUFTS', '*UCHICAGO']",NA,,,"BROWN, COLUMBIA, CORNELL, DUKE, MIT, JOHNS HOPKINS, DARTMOUTH, RICE, VANDERBILT, UPENN, CASE WESTERN, TUFTS, UCHICAGO",0,0,13
M,ASIAN,CA,Low,NA,NONE,CS,1540,6.5,1,"['*GEORGIA TECH', '*PURDUE']",[],"['*UPENN', '*UT-AUSTIN']",NA,"GEORGIA TECH, PURDUE",,"UPENN, UT-AUSTIN",2,0,2
M,ASIAN,CA,High,PUBLIC,NONE,CS,1500,7.5,2.5,"['*NYU', '*FORDHAM']",[],[],NA,"NYU, FORDHAM",,,2,0,0
M,ASIAN,IN,Low,PRIVATE,NONE,CS,1500,8.5,8.5,['*VANDERBILT'],[],[],NA,VANDERBILT,,,1,0,0
F,WHITE,FL,Low,MAGNET,LEGACY,POLISCI,1420,5.5,4.5,"['*USC', '*NORTHEASTERN']",[],"['*DUKE', '*NYU', '*EMORY', '*TUFTS', '*UNC CHAPEL HILL', '*UVA']",NA,"USC, NORTHEASTERN",,"DUKE, NYU, EMORY, TUFTS, UNC CHAPEL HILL, UVA",2,0,6
M,ASIAN,CO,Low,NA,NONE,CS,1480,6.5,3.6,[],[],['*USC'],NA,,,USC,0,0,1
F,ASIAN,WA,Middle,PUBLIC,NONE,CS,1540,6.5,6.5,"['*MIT', '*GEORGIA TECH', '*PURDUE', '*UMICH', '*UIUC']",[],[],NA,"MIT, GEORGIA TECH, PURDUE, UMICH, UIUC",,,5,0,0
F,ASIAN,IL,Low,PUBLIC,NONE,CS,1520,7.5,4.5,"['*YALE', '*STANFORD', '*NORTHWESTERN', '*UPENN']",[],[],NA,"YALE, STANFORD, NORTHWESTERN, UPENN",,,4,0,0
F,WHITE,CO,Low,PRIVATE,NONE,BUSINESS,1560,6.5,2.5,['*NYU'],[],"['*BROWN', '*NORTHWESTERN', '*DARTMOUTH', '*VANDERBILT', '*FORDHAM']",NA,NYU,,"BROWN, NORTHWESTERN, DARTMOUTH, VANDERBILT, FORDHAM",1,0,5
F,ASIAN,MA,Low,PUBLIC,FIRST-GEN,ENG,1400,6.5,2.5,['*UPENN'],[],[],NA,UPENN,,,1,0,0
M,ASIAN,INTERNATIONAL,High,PRIVATE,NONE,ENG,1520,7.5,4.5,[],['*UIUC'],"['*UCLA', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*DUKE', '*UCSD', '*CALTECH', '*JOHNS HOPKINS', '*CMU', '*PURDUE', '*NYU', '*UMICH', '*UT-AUSTIN', '*UCI']",NA,,UIUC,"UCLA, YALE, BROWN, STANFORD, NORTHWESTERN, CORNELL, BERKELEY, DUKE, UCSD, CALTECH, JOHNS HOPKINS, CMU, PURDUE, NYU, UMICH, UT-AUSTIN, UCI",0,1,17
M,WHITE,WA,Low,PRIVATE,FIRST-GEN,POLISCI,1330,7.5,7.8,[],[],"['*SWARTHMORE', '*WILLIAMS', '*WASHU']",NA,,,"SWARTHMORE, WILLIAMS, WASHU",0,0,3
M,BLACK,TX,Low,PUBLIC,URM,POLISCI,1460,8.5,4.5,[],[],[],NA,,,,0,0,0
M,ASIAN,PA,Low,PRIVATE,NONE,NA,1480,-1,7.2,[],[],"['*COLUMBIA', '*MIT', '*GEORGIA TECH', '*PURDUE', '*UIUC', '*UT-AUSTIN', '*VIRGINIA TECH', '*UW MADISON', '*UVA']",NA,,,"COLUMBIA, MIT, GEORGIA TECH, PURDUE, UIUC, UT-AUSTIN, VIRGINIA TECH, UW MADISON, UVA",0,0,9
F,WHITE,MD,Low,NA,FIRST-GEN,BUSINESS,1400,3.5,2.5,"['*UPENN', '*UMICH']",[],['*UVA'],NA,"UPENN, UMICH",,UVA,2,0,1
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,6.8,"['*NORTHEASTERN', '*TULANE']",[],"['*UCLA', '*STANFORD', '*CORNELL', '*BERKELEY', '*DUKE', '*SWARTHMORE', '*RICE', '*UCI']",NA,"NORTHEASTERN, TULANE",,"UCLA, STANFORD, CORNELL, BERKELEY, DUKE, SWARTHMORE, RICE, UCI",2,0,8
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,5.5,6.5,"['*UCLA', '*BROWN', '*CORNELL', '*BERKELEY', '*MIT', '*SWARTHMORE', '*NYU', '*UMICH', '*USC', '*UT-AUSTIN', '*TULANE', '*HARVEY MUDD', '*CLAREMONT MCKENNA', '*UCI']",[],[],NA,"UCLA, BROWN, CORNELL, BERKELEY, MIT, SWARTHMORE, NYU, UMICH, USC, UT-AUSTIN, TULANE, HARVEY MUDD, CLAREMONT MCKENNA, UCI",,,14,0,0
M,ASIAN,CA,High,NA,NONE,CS,1530,7.5,7.2,"['*RUTGERS', '*UNC CHAPEL HILL']","['*PURDUE', '*UMICH', '*NORTHEASTERN']","['*CMU', '*UIUC', '*UT-AUSTIN']",NA,"RUTGERS, UNC CHAPEL HILL","PURDUE, UMICH, NORTHEASTERN","CMU, UIUC, UT-AUSTIN",2,3,3
M,ASIAN,NV,High,PUBLIC,NONE,CS,1470,7.5,8,"['*UT-DALLAS', '*TAMU']",[],"['*UCLA', '*STANFORD', '*BERKELEY', '*UCSD', '*RICE', '*UMICH', '*USC', '*UCSB', '*UIUC', '*BOSTON UNIVERSITY', '*UT-AUSTIN']",NA,"UT-DALLAS, TAMU",,"UCLA, STANFORD, BERKELEY, UCSD, RICE, UMICH, USC, UCSB, UIUC, BOSTON UNIVERSITY, UT-AUSTIN",2,0,11
M,ASIAN,CA,Low,PUBLIC,NONE,CS,1550,8.5,4.5,"['*BERKELEY', '*UPENN', '*UW MADISON', '*UNC CHAPEL HILL', '*ARIZONA STATE']","['*GEORGIA TECH', '*PURDUE', '*UMICH', '*UIUC']","['*STANFORD', '*CMU', '*UIUC', '*UT-AUSTIN']",NA,"BERKELEY, UPENN, UW MADISON, UNC CHAPEL HILL, ARIZONA STATE","GEORGIA TECH, PURDUE, UMICH, UIUC","STANFORD, CMU, UIUC, UT-AUSTIN",5,4,4
F,BLACK,MI,High,PUBLIC,URM,CS,1470,5.5,4.5,"['*BOSTON UNIVERSITY', '*FORDHAM', '*UNC CHAPEL HILL', '*UVA']",['*NORTHEASTERN'],[],NA,"BOSTON UNIVERSITY, FORDHAM, UNC CHAPEL HILL, UVA",NORTHEASTERN,,4,1,0
M,ASIAN,CA,Low,PUBLIC,NONE,ENG,1510,6.5,4.5,"['*NYU', '*UIUC', '*VIRGINIA TECH', '*UVA']",[],"['*PURDUE', '*UPENN', '*UMICH', '*USC', '*BOSTON COLLEGE', '*UT-AUSTIN', '*NORTHEASTERN', '*UW MADISON', '*TUFTS', '*UVA']",NA,"NYU, UIUC, VIRGINIA TECH, UVA",,"PURDUE, UPENN, UMICH, USC, BOSTON COLLEGE, UT-AUSTIN, NORTHEASTERN, UW MADISON, TUFTS, UVA",4,0,10
M,ASIAN,LA,Low,PUBLIC,FIRST-GEN,CS,1410,1,4.5,"['*GEORGIA TECH', '*UIUC', '*VIRGINIA TECH', '*UVA']",[],"['*CORNELL', '*GEORGIA TECH', '*UMICH', '*NORTHEASTERN']",NA,"GEORGIA TECH, UIUC, VIRGINIA TECH, UVA",,"CORNELL, GEORGIA TECH, UMICH, NORTHEASTERN",4,0,4
NB,WHITE,FL,Low,NA,LEGACY,ENVIRONMENTAL STUDIES,1250,4,4.5,"['*DUKE', '*UPENN']",[],"['*DUKE', '*UVA']",NA,"DUKE, UPENN",,"DUKE, UVA",2,0,2
F,WHITE,INTERNATIONAL,NA,PRIVATE,NONE,CS,1500,-1,4.5,[],[],"['*HARVARD', '*STANFORD', '*DUKE', '*SWARTHMORE', '*WILLIAMS', '*UCHICAGO', '*UNC CHAPEL HILL']",NA,,,"HARVARD, STANFORD, DUKE, SWARTHMORE, WILLIAMS, UCHICAGO, UNC CHAPEL HILL",0,0,7
F,BLACK,CO,Low,PUBLIC,NONE,BUSINESS,1210,5,2.5,"['*VIRGINIA TECH', '*UVA']","['*FORDHAM', '*NORTHEASTERN']","['*EMORY', '*NORTHEASTERN', '*UNC CHAPEL HILL']",NA,"VIRGINIA TECH, UVA","FORDHAM, NORTHEASTERN","EMORY, NORTHEASTERN, UNC CHAPEL HILL",2,2,3
M,ASIAN,DC,Low,PRIVATE,NONE,NA,1520,7.5,4.5,"['*GEORGIA TECH', '*UPENN', '*USC']",[],"['*UCLA', '*HARVARD', '*STANFORD', '*BERKELEY', '*PRINCETON', '*RICE', '*VANDERBILT']",NA,"GEORGIA TECH, UPENN, USC",,"UCLA, HARVARD, STANFORD, BERKELEY, PRINCETON, RICE, VANDERBILT",3,0,7
M,WHITE,NA,Low,NA,NONE,POLISCI,1420,3,8.5,['*UVA'],[],"['*COLUMBIA', '*BERKELEY', '*PRINCETON', '*UPENN', '*UCHICAGO', '*UVA']",NA,UVA,,"COLUMBIA, BERKELEY, PRINCETON, UPENN, UCHICAGO, UVA",1,0,6
M,WHITE,CA,Low,PUBLIC,NONE,CS,1290,4,2.5,['*ARIZONA STATE'],[],"['*UCSC', '*NORTHEASTERN']",NA,ARIZONA STATE,,"UCSC, NORTHEASTERN",1,0,2
F,ASIAN,WA,High,PUBLIC,NONE,POLISCI,1320,6.5,8.5,"['*COLUMBIA', '*PURDUE']",[],"['*GEORGIA TECH', '*NYU', '*FORDHAM', '*NORTHEASTERN', '*UW MADISON']",NA,"COLUMBIA, PURDUE",,"GEORGIA TECH, NYU, FORDHAM, NORTHEASTERN, UW MADISON",2,0,5
M,ASIAN,CA,Low,NA,NONE,ENG,1570,6.5,2.5,['*UCSC'],"['*UCSD', '*UCD']","['*UCLA', '*STANFORD', '*NORTHWESTERN', '*JOHNS HOPKINS', '*CMU', '*UMICH', '*CASE WESTERN', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*UCHICAGO', '*UCI']",NA,UCSC,"UCSD, UCD","UCLA, STANFORD, NORTHWESTERN, JOHNS HOPKINS, CMU, UMICH, CASE WESTERN, BOSTON UNIVERSITY, NORTHEASTERN, UCHICAGO, UCI",1,2,11
M,ASIAN,IN,Middle,PRIVATE,NONE,CS,1470,8.5,7.5,['*PURDUE'],[],"['*UCLA', '*CORNELL', '*UCSD', '*GEORGIA TECH', '*CMU', '*UIUC', '*UT-AUSTIN', '*UCI']",NA,PURDUE,,"UCLA, CORNELL, UCSD, GEORGIA TECH, CMU, UIUC, UT-AUSTIN, UCI",1,0,8
M,ASIAN,INTERNATIONAL,Low,SMALL,FIRST-GEN,ENG,1470,6.5,4.5,[],[],['*CALTECH'],NA,,,CALTECH,0,0,1
F,ASIAN,CA,Middle,PUBLIC,NONE,BIO,1560,7.5,3.7,"['*UCLA', '*DUKE', '*PRINCETON', '*UCSD', '*UCSB', '*UCD', '*UCSC', '*UCI']",['*NORTHWESTERN'],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*JOHNS HOPKINS', '*DARTMOUTH', '*VANDERBILT', '*UPENN']",NA,"UCLA, DUKE, PRINCETON, UCSD, UCSB, UCD, UCSC, UCI",NORTHWESTERN,"HARVARD, YALE, BROWN, STANFORD, COLUMBIA, CORNELL, BERKELEY, DUKE, JOHNS HOPKINS, DARTMOUTH, VANDERBILT, UPENN",8,1,12
F,WHITE,INTERNATIONAL,NA,PRIVATE,NONE,CS,1500,-1,4.5,[],[],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*SWARTHMORE', '*DARTMOUTH', '*WILLIAMS', '*VANDERBILT', '*UPENN', '*BOSTON UNIVERSITY', '*UCHICAGO', '*UNC CHAPEL HILL']",NA,,,"HARVARD, YALE, BROWN, STANFORD, COLUMBIA, CORNELL, DUKE, PRINCETON, SWARTHMORE, DARTMOUTH, WILLIAMS, VANDERBILT, UPENN, BOSTON UNIVERSITY, UCHICAGO, UNC CHAPEL HILL",0,0,16
M,ASIAN,CA,High,PUBLIC,NONE,CS,1560,4.5,6.8,['*UCSD'],"['*UCLA', '*UCD', '*UCI']","['*BROWN', '*STANFORD', '*BERKELEY', '*DUKE', '*RICE', '*UPENN', '*USC']",NA,UCSD,"UCLA, UCD, UCI","BROWN, STANFORD, BERKELEY, DUKE, RICE, UPENN, USC",1,3,7
F,WHITE,CA,Low,NA,NONE,CS,1350,5,7.5,"['*UCSD', '*UCSB', '*UCD', '*UCSC', '*ARIZONA STATE']","['*UCLA', '*UCSD']","['*BERKELEY', '*UCI']",NA,"UCSD, UCSB, UCD, UCSC, ARIZONA STATE","UCLA, UCSD","BERKELEY, UCI",5,2,2
M,ASIAN,IN,High,PRIVATE,NONE,ENG,1540,8.5,7.5,"['*UCD', '*UCSC', '*UIUC']",[],"['*UCLA', '*CORNELL', '*UCSD', '*UCI']",NA,"UCD, UCSC, UIUC",,"UCLA, CORNELL, UCSD, UCI",3,0,4
M,ASIAN,NY,Low,PUBLIC,NONE,CS,1370,7.5,2.5,"['*GEORGIA TECH', '*UPENN', '*VIRGINIA TECH', '*UVA']",['*NORTHEASTERN'],['*UVA'],NA,"GEORGIA TECH, UPENN, VIRGINIA TECH, UVA",NORTHEASTERN,UVA,4,1,1
F,ASIAN,IL,NA,PRIVATE,NONE,MATH,1460,1,3.5,"['*UPENN', '*UIUC']",['*PURDUE'],['*WASHU'],NA,"UPENN, UIUC",PURDUE,WASHU,2,1,1
F,ASIAN,CO,High,PRIVATE,NONE,CS,1540,6.5,4.7,['*SWARTHMORE'],[],[],NA,SWARTHMORE,,,1,0,0
F,WHITE,PA,Low,PRIVATE,URM,BIO,1410,6.5,3.7,[],['*HARVARD'],"['*NORTHWESTERN', '*CASE WESTERN', '*TUFTS']",NA,,HARVARD,"NORTHWESTERN, CASE WESTERN, TUFTS",0,1,3
M,ASIAN,TN,Low,PUBLIC,NONE,BUSINESS,1390,6.5,3.7,"['*UCLA', '*CASE WESTERN', '*UVA', '*UCI']",[],['*BOSTON UNIVERSITY'],NA,"UCLA, CASE WESTERN, UVA, UCI",,BOSTON UNIVERSITY,4,0,1
M,ASIAN,WA,Low,PUBLIC,NONE,PREMED,1460,5,2.5,"['*UPENN', '*UCI']","['*UCLA', '*CASE WESTERN', '*UVA']","['*STANFORD', '*BERKELEY', '*TULANE']",NA,"UPENN, UCI","UCLA, CASE WESTERN, UVA","STANFORD, BERKELEY, TULANE",2,3,3
F,ASIAN,CA,Low,PUBLIC,LEGACY,CS,1270,5,6.5,"['*CASE WESTERN', '*VIRGINIA TECH', '*UVA']",['*UIUC'],"['*BROWN', '*COLUMBIA', '*JOHNS HOPKINS', '*NYU', '*NORTHEASTERN']",NA,"CASE WESTERN, VIRGINIA TECH, UVA",UIUC,"BROWN, COLUMBIA, JOHNS HOPKINS, NYU, NORTHEASTERN",3,1,5
M,NA,CA,NA,PUBLIC,NONE,CS,1520,3.5,2.5,"['*UCLA', '*STANFORD', '*NORTHWESTERN', '*BERKELEY', '*DUKE', '*UCSD', '*VANDERBILT', '*NYU', '*UCSB', '*WASHU', '*UCI']",[],"['*UCLA', '*STANFORD', '*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*DUKE', '*UCSD', '*VANDERBILT', '*NYU', '*UCSB', '*WASHU', '*UCI']",NA,"UCLA, STANFORD, NORTHWESTERN, BERKELEY, DUKE, UCSD, VANDERBILT, NYU, UCSB, WASHU, UCI",,"UCLA, STANFORD, NORTHWESTERN, CORNELL, BERKELEY, DUKE, UCSD, VANDERBILT, NYU, UCSB, WASHU, UCI",11,0,12
F,ASIAN,NE,Low,PUBLIC,NONE,CS,1560,8.5,6.5,[],['*FORDHAM'],"['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*JOHNS HOPKINS', '*SWARTHMORE', '*DARTMOUTH', '*CMU', '*RICE', '*VANDERBILT', '*NYU', '*EMORY', '*USC', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*WASHU', '*UT-AUSTIN', '*COLGATE', '*TUFTS', '*UCHICAGO']",NA,,FORDHAM,"HARVARD, YALE, BROWN, STANFORD, NORTHWESTERN, COLUMBIA, CORNELL, DUKE, PRINCETON, JOHNS HOPKINS, SWARTHMORE, DARTMOUTH, CMU, RICE, VANDERBILT, NYU, EMORY, USC, BOSTON UNIVERSITY, BOSTON COLLEGE, WASHU, UT-AUSTIN, COLGATE, TUFTS, UCHICAGO",0,1,25
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1590,6.5,4.5,"['*BROWN', '*STANFORD', '*BERKELEY', '*DUKE', '*JOHNS HOPKINS', '*RICE', '*WILLIAMS', '*VANDERBILT', '*NYU', '*NORTHEASTERN']","['*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*PRINCETON']","['*UCLA', '*YALE', '*USC']",NA,"BROWN, STANFORD, BERKELEY, DUKE, JOHNS HOPKINS, RICE, WILLIAMS, VANDERBILT, NYU, NORTHEASTERN","HARVARD, NORTHWESTERN, COLUMBIA, PRINCETON","UCLA, YALE, USC",10,4,3
M,ASIAN,CA,Low,NA,FIRST-GEN,CS,1400,1,3.5,"['*POMONA', '*San Jose State University']","['*UCD', '*UCSC']","['*UCLA', '*UCSD', '*UCSB', '*UCR']",NA,"POMONA, San Jose State University","UCD, UCSC","UCLA, UCSD, UCSB, UCR",2,2,4
M,WHITE,DC,Low,PUBLIC,NONE,CS,1500,6.5,8.5,[],"['*SWARTHMORE', '*UVA']","['*BROWN', '*CORNELL', '*PRINCETON', '*VANDERBILT', '*UCHICAGO']",NA,,"SWARTHMORE, UVA","BROWN, CORNELL, PRINCETON, VANDERBILT, UCHICAGO",0,2,5
M,ASIAN,CO,Low,NA,FIRST-GEN,CS,1510,5,4.3,[],"['*NORTHWESTERN', '*COLUMBIA', '*WASHU']","['*COLUMBIA', '*DUKE', '*NYU', '*WASHU']",NA,,"NORTHWESTERN, COLUMBIA, WASHU","COLUMBIA, DUKE, NYU, WASHU",0,3,4
