student_id,gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,target_college,accepted
75,M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,CORNELL,1
75,M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,MIT,1
75,M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,CALTECH,1
75,M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,CMU,1
75,M,WHITE,UT,Low,PUBLIC,URM,CS,1460,5,4.5,USC,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,UCLA,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,BERKELEY,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,UCSD,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,POMONA,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,UCSB,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,UCD,1
78,M,ASIAN,CA,Low,PUBLIC,URM,CS,1100,5,7.2,CLAREMONT MCKENNA,1
79,F,HISPANIC,FL,Low,PUBLIC,NONE,DESIGN,1320,5.5,8.7,CMU,1
79,F,HISPANIC,FL,Low,PUBLIC,NONE,DESIGN,1320,5.5,8.7,WASHU,1
81,M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,UMICH,1
81,M,ASIAN,DC,Low,PUBLIC,NONE,BIO,1440,8.5,8.2,UNC CHAPEL HILL,1
83,M,WHITE,MD,Low,PUBLIC,NONE,UNDECIDED,1460,2,3.5,UW MADISON,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UCLA,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,YALE,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,BROWN,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,COLUMBIA,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,CORNELL,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,DUKE,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UCSD,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,GEORGIA TECH,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,PURDUE,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,USC,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UCSB,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UCD,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UIUC,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UT-AUSTIN,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,VIRGINIA TECH,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,TUFTS,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,UVA,1
84,M,ASIAN,CA,High,PUBLIC,NONE,CS,1440,7.5,4.5,TAMU,1
