Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
M,ASIAN,OH,-1,PUBLIC,NONE,-1,1490,6.5,0,"['*UCSD', '*PURDUE', '*UPENN', '*CASE WESTERN']",[],"['*NYU', '*EMORY', '*CASE WESTERN']",
F,WHITE,OR,Low,SMALL,FIRST-GEN,DESIGN,1410,2,4.5,['*UPENN'],"['*VIRGINIA TECH', '*UVA']","['*GEORGIA TECH', '*NORTHEASTERN']",
F,WHITE,CA,Low,-1,NONE,ENVIRONMENTAL STUDIES,1350,4.5,2,['*UCI'],[],['*UCLA'],
F,ASIAN,CA,High,PRIVATE,NONE,CHEMISTRY,1560,6.5,2.5,"['*CMU', '*PURDUE', '*UCSB', '*UCD', '*UIUC']","['*UCSD', '*NYU', '*UCHICAGO', '*UCI']","['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*BERKELEY', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*CMU', '*UPENN', '*USC']",
M,ASIAN,WA,Low,-1,LEGACY,ENG,1380,5.5,4.5,"['*UCD', '*UCI']",['*BERKELEY'],['*UCLA'],
F,ASIAN,CO,High,CHARTER,NONE,-1,1500,6.5,6.5,['*CASE WESTERN'],"['*DARTMOUTH', '*EMORY', '*BOSTON COLLEGE']","['*BROWN', '*NORTHWESTERN', '*CORNELL', '*DUKE', '*JOHNS HOPKINS', '*VANDERBILT', '*NORTHEASTERN']",
M,HISPANIC,CA,Low,PUBLIC,URM,-1,1330,5.5,6.8,"['*UCLA', '*STANFORD', '*BERKELEY', '*CALTECH']","['*HARVARD', '*MIT']",['*COLUMBIA'],
M,BLACK,CO,High,PUBLIC,URM,PREMED,1370,6.5,3.5,"['*NORTHWESTERN', '*CORNELL', '*VANDERBILT', '*EMORY', '*CASE WESTERN', '*USC']","['*DUKE', '*JOHNS HOPKINS', '*UPENN']","['*YALE', '*UPENN']",
M,ASIAN,-1,High,PUBLIC,FIRST-GEN,CHEMISTRY,1300,6,7.5,"['*UMICH', '*UCD', '*FORDHAM', '*UCI']","['*UCLA', '*UCSD']","['*BROWN', '*WILLIAMS', '*USC', '*BOSTON UNIVERSITY']",
M,WHITE,IL,High,PUBLIC,NONE,CS,1530,5,7,"['*PURDUE', '*UMICH', '*UW MADISON', '*ARIZONA STATE']",[],['*UIUC'],
M,BLACK,OR,Low,PUBLIC,URM,-1,1450,6.5,4.2,"['*HARVARD', '*COLUMBIA', '*CORNELL', '*MIT', '*CALTECH', '*UCHICAGO']",[],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*UPENN']",
F,WHITE,TX,Low,PUBLIC,URM,CS,1420,5.5,4.5,"['*CORNELL', '*CMU', '*UT-AUSTIN', '*NORTHEASTERN']",[],"['*HARVARD', '*CALTECH', '*SWARTHMORE']",
F,ARAB,OR,High,PUBLIC,LEGACY,BUSINESS,1430,5.5,7.5,"['*UCLA', '*BERKELEY', '*DUKE', '*UPENN', '*UIUC', '*NORTHEASTERN', '*UNC CHAPEL HILL']",[],"['*BROWN', '*STANFORD', '*COLUMBIA', '*VANDERBILT']",
M,ASIAN,GA,Low,PUBLIC,FIRST-GEN,CS,1530,3.5,4.2,['*CALTECH'],[],[],
